,Pclass_n,Sex_n,Age_n,Ticket_n,Fare_n,Survived
63,2.0,1.0,8.0,337.0,147.0,
64,0.0,1.0,88.0,601.0,145.0,
65,2.0,1.0,88.0,189.0,101.0,
66,1.0,0.0,38.0,553.0,72.0,
67,2.0,1.0,24.0,623.0,46.0,
68,2.0,0.0,22.0,248.0,41.0,
69,2.0,1.0,34.0,270.0,54.0,
70,1.0,1.0,42.0,557.0,72.0,
71,2.0,0.0,21.0,566.0,179.0,
72,1.0,1.0,27.0,621.0,208.0,
73,2.0,1.0,34.0,204.0,94.0,
74,2.0,1.0,42.0,80.0,193.0,
75,2.0,1.0,33.0,347.0,24.0,
76,2.0,1.0,88.0,355.0,40.0,
77,2.0,1.0,88.0,473.0,43.0,
78,1.0,1.0,3.0,158.0,150.0,
79,2.0,0.0,39.0,432.0,81.0,
80,2.0,1.0,28.0,304.0,58.0,
81,2.0,1.0,38.0,311.0,64.0,
82,2.0,0.0,88.0,280.0,32.0,
83,0.0,1.0,36.0,25.0,180.0,
84,1.0,0.0,22.0,637.0,72.0,
85,2.0,0.0,44.0,247.0,106.0,
86,2.0,1.0,21.0,676.0,165.0,
87,2.0,1.0,88.0,652.0,43.0,
88,0.0,0.0,29.0,95.0,246.0,
89,2.0,1.0,31.0,297.0,43.0,
90,2.0,1.0,38.0,298.0,43.0,
91,2.0,1.0,25.0,341.0,36.0,
92,0.0,1.0,61.0,678.0,198.0,
93,2.0,1.0,34.0,548.0,122.0,
94,2.0,1.0,75.0,428.0,18.0,
95,2.0,1.0,88.0,475.0,43.0,
96,0.0,1.0,85.0,607.0,166.0,
97,0.0,1.0,29.0,612.0,201.0,
98,1.0,0.0,45.0,117.0,129.0,
99,1.0,1.0,45.0,150.0,138.0,
100,2.0,0.0,36.0,384.0,40.0,
101,2.0,1.0,88.0,361.0,40.0,
102,0.0,1.0,27.0,417.0,212.0,
103,2.0,1.0,44.0,505.0,53.0,
104,2.0,1.0,50.0,245.0,41.0,
105,2.0,1.0,36.0,354.0,40.0,
106,2.0,0.0,27.0,296.0,24.0,
107,2.0,1.0,88.0,254.0,31.0,
108,2.0,1.0,51.0,388.0,40.0,
109,2.0,0.0,88.0,469.0,133.0,
110,0.0,1.0,62.0,2.0,187.0,
111,2.0,0.0,19.0,193.0,94.0,
112,2.0,1.0,28.0,274.0,43.0,
113,2.0,0.0,25.0,491.0,66.0,
114,2.0,0.0,22.0,176.0,95.0,
115,2.0,1.0,27.0,666.0,41.0,
116,2.0,1.0,84.0,460.0,30.0,
117,1.0,1.0,38.0,53.0,123.0,
118,0.0,1.0,31.0,585.0,244.0,
119,2.0,0.0,6.0,333.0,158.0,
120,1.0,1.0,27.0,621.0,208.0,
121,2.0,1.0,88.0,540.0,43.0,
122,1.0,1.0,43.0,132.0,154.0,
123,1.0,0.0,43.0,219.0,85.0,
124,0.0,1.0,69.0,417.0,212.0,
125,2.0,1.0,16.0,186.0,75.0,
126,2.0,1.0,88.0,463.0,30.0,
127,2.0,1.0,31.0,541.0,15.0,
128,2.0,0.0,88.0,196.0,127.0,
129,2.0,1.0,59.0,318.0,10.0,
130,2.0,1.0,44.0,380.0,40.0,
131,2.0,1.0,25.0,640.0,12.0,
132,2.0,0.0,62.0,537.0,96.0,
133,1.0,0.0,38.0,111.0,138.0,
134,1.0,1.0,33.0,552.0,85.0,
135,1.0,1.0,29.0,630.0,98.0,
136,0.0,0.0,24.0,55.0,140.0,
137,0.0,1.0,50.0,49.0,189.0,
138,2.0,1.0,21.0,504.0,59.0,
139,0.0,1.0,31.0,592.0,216.0,
140,2.0,0.0,88.0,203.0,101.0,
141,2.0,0.0,28.0,332.0,30.0,
142,2.0,0.0,31.0,668.0,106.0,
143,2.0,1.0,24.0,438.0,7.0,
144,1.0,1.0,23.0,118.0,76.0,
145,1.0,1.0,24.0,558.0,169.0,
146,2.0,1.0,35.0,405.0,33.0,
147,2.0,0.0,13.0,676.0,165.0,
148,1.0,1.0,49.0,113.0,138.0,
149,1.0,1.0,56.0,147.0,85.0,
150,1.0,1.0,66.0,622.0,82.0,
151,0.0,0.0,28.0,36.0,203.0,
152,2.0,1.0,71.0,516.0,43.0,
153,2.0,1.0,54.0,538.0,96.0,
154,2.0,1.0,88.0,573.0,19.0,
155,0.0,1.0,66.0,595.0,199.0,
156,2.0,0.0,21.0,418.0,27.0,
157,2.0,1.0,39.0,654.0,43.0,
158,2.0,1.0,88.0,258.0,54.0,
159,2.0,1.0,88.0,568.0,205.0,
160,2.0,1.0,58.0,470.0,109.0,
161,1.0,0.0,53.0,559.0,105.0,
162,2.0,1.0,34.0,323.0,31.0,
163,2.0,1.0,22.0,265.0,54.0,
164,2.0,1.0,5.0,249.0,175.0,
165,2.0,1.0,13.0,423.0,121.0,
166,0.0,0.0,88.0,28.0,190.0,
167,2.0,0.0,59.0,337.0,147.0,
168,0.0,1.0,88.0,576.0,136.0,
169,2.0,1.0,36.0,80.0,193.0,
170,0.0,1.0,77.0,5.0,163.0,
171,2.0,1.0,8.0,480.0,151.0,
172,2.0,0.0,5.0,344.0,74.0,
173,2.0,1.0,27.0,659.0,41.0,
174,0.0,1.0,72.0,90.0,156.0,
175,2.0,1.0,23.0,412.0,36.0,
176,2.0,1.0,88.0,488.0,134.0,
177,0.0,0.0,65.0,593.0,149.0,
178,1.0,1.0,39.0,169.0,85.0,
179,2.0,1.0,48.0,574.0,0.0,
180,2.0,0.0,88.0,568.0,205.0,
181,1.0,1.0,88.0,629.0,99.0,
182,2.0,1.0,13.0,329.0,159.0,
183,1.0,1.0,5.0,114.0,172.0,
184,2.0,0.0,8.0,271.0,126.0,
185,0.0,1.0,88.0,34.0,183.0,
186,2.0,0.0,88.0,459.0,102.0,
187,0.0,1.0,59.0,11.0,143.0,
188,2.0,1.0,53.0,435.0,102.0,
189,2.0,1.0,48.0,386.0,40.0,
190,1.0,0.0,42.0,122.0,85.0,
191,1.0,1.0,24.0,227.0,85.0,
192,2.0,0.0,24.0,406.0,36.0,
193,1.0,1.0,7.0,113.0,138.0,
194,0.0,0.0,58.0,604.0,145.0,
195,0.0,0.0,74.0,586.0,236.0,
196,2.0,1.0,88.0,452.0,30.0,
197,2.0,1.0,56.0,494.0,49.0,
198,2.0,0.0,88.0,461.0,30.0,
199,1.0,0.0,31.0,160.0,85.0,
200,2.0,1.0,36.0,306.0,64.0,
201,2.0,1.0,88.0,568.0,205.0,
202,2.0,1.0,45.0,242.0,6.0,
203,2.0,1.0,60.0,177.0,16.0,
204,2.0,1.0,23.0,530.0,43.0,
205,2.0,0.0,6.0,316.0,71.0,
206,2.0,1.0,42.0,247.0,106.0,
207,2.0,1.0,34.0,216.0,115.0,
208,2.0,0.0,21.0,445.0,30.0,
209,0.0,1.0,53.0,17.0,157.0,
210,2.0,1.0,31.0,642.0,12.0,
211,1.0,0.0,47.0,570.0,123.0,
212,2.0,1.0,28.0,526.0,18.0,
213,1.0,1.0,39.0,163.0,85.0,
214,2.0,1.0,88.0,443.0,30.0,
215,0.0,0.0,41.0,416.0,231.0,
216,2.0,0.0,35.0,670.0,41.0,
217,1.0,1.0,56.0,142.0,144.0,
218,0.0,0.0,42.0,63.0,210.0,
219,1.0,1.0,39.0,679.0,72.0,
220,2.0,1.0,21.0,653.0,43.0,
221,1.0,1.0,35.0,105.0,85.0,
222,2.0,1.0,66.0,102.0,43.0,
223,2.0,1.0,88.0,375.0,40.0,
224,0.0,1.0,51.0,93.0,225.0,
225,2.0,1.0,28.0,615.0,61.0,
226,1.0,1.0,24.0,672.0,72.0,
227,2.0,1.0,26.0,525.0,18.0,
228,1.0,1.0,23.0,125.0,85.0,
229,2.0,0.0,88.0,488.0,134.0,
230,0.0,0.0,47.0,457.0,222.0,
231,2.0,1.0,38.0,322.0,31.0,
232,1.0,1.0,75.0,128.0,87.0,
233,2.0,0.0,9.0,329.0,159.0,
234,1.0,1.0,31.0,554.0,72.0,
235,2.0,0.0,88.0,677.0,22.0,
236,1.0,1.0,58.0,198.0,138.0,
237,1.0,0.0,12.0,556.0,139.0,
238,1.0,1.0,24.0,231.0,72.0,
239,1.0,1.0,44.0,636.0,78.0,
240,2.0,0.0,88.0,193.0,94.0,
241,2.0,0.0,88.0,444.0,102.0,
242,1.0,1.0,38.0,674.0,72.0,
243,2.0,1.0,28.0,658.0,14.0,
244,2.0,1.0,39.0,213.0,16.0,
245,0.0,1.0,58.0,92.0,225.0,
246,2.0,0.0,33.0,325.0,31.0,
247,1.0,0.0,31.0,166.0,96.0,
248,0.0,1.0,50.0,54.0,188.0,
249,1.0,1.0,69.0,144.0,138.0,
250,2.0,1.0,88.0,422.0,18.0,
251,2.0,0.0,38.0,316.0,71.0,
252,0.0,1.0,78.0,31.0,143.0,
253,2.0,1.0,39.0,536.0,109.0,
254,2.0,0.0,55.0,458.0,119.0,
255,2.0,0.0,38.0,185.0,101.0,
256,0.0,0.0,88.0,589.0,216.0,
257,0.0,0.0,39.0,0.0,223.0,
258,0.0,0.0,47.0,608.0,247.0,
259,1.0,0.0,65.0,115.0,138.0,
260,2.0,1.0,88.0,482.0,30.0,
261,2.0,1.0,7.0,329.0,159.0,
262,0.0,1.0,67.0,1.0,217.0,
263,0.0,1.0,53.0,16.0,0.0,
264,2.0,0.0,88.0,478.0,30.0,
265,1.0,1.0,48.0,546.0,72.0,
266,2.0,1.0,21.0,249.0,175.0,
267,2.0,1.0,33.0,334.0,31.0,
268,0.0,0.0,74.0,588.0,238.0,
269,0.0,0.0,47.0,613.0,235.0,
270,0.0,1.0,88.0,47.0,157.0,
271,2.0,1.0,33.0,574.0,0.0,
272,1.0,0.0,55.0,162.0,117.0,
273,0.0,1.0,50.0,594.0,152.0,
274,2.0,0.0,88.0,465.0,30.0,
275,0.0,0.0,79.0,71.0,213.0,
276,2.0,0.0,59.0,326.0,30.0,
277,1.0,1.0,88.0,135.0,0.0,
278,2.0,1.0,11.0,480.0,151.0,
279,2.0,0.0,47.0,551.0,120.0,
280,2.0,1.0,81.0,290.0,30.0,
281,2.0,1.0,36.0,340.0,36.0,
282,2.0,1.0,21.0,310.0,64.0,
283,2.0,1.0,24.0,533.0,43.0,
284,0.0,1.0,88.0,24.0,138.0,
285,2.0,1.0,44.0,378.0,54.0,
286,2.0,1.0,39.0,308.0,64.0,
287,2.0,1.0,28.0,353.0,40.0,
288,1.0,1.0,56.0,134.0,85.0,
289,2.0,0.0,28.0,464.0,30.0,
290,0.0,0.0,34.0,91.0,215.0,
291,0.0,0.0,24.0,64.0,226.0,
292,1.0,1.0,48.0,635.0,84.0,
293,2.0,0.0,31.0,376.0,57.0,
294,2.0,1.0,31.0,374.0,40.0,
295,0.0,1.0,88.0,606.0,145.0,
296,2.0,1.0,30.0,212.0,17.0,
297,0.0,0.0,6.0,37.0,237.0,
298,0.0,1.0,88.0,98.0,155.0,
299,0.0,0.0,65.0,585.0,244.0,
300,2.0,0.0,88.0,513.0,30.0,
301,2.0,1.0,88.0,441.0,130.0,
302,2.0,1.0,24.0,574.0,0.0,
303,1.0,0.0,88.0,109.0,80.0,
304,2.0,1.0,88.0,527.0,43.0,
305,0.0,1.0,4.0,37.0,237.0,
306,0.0,0.0,88.0,83.0,230.0,
307,0.0,0.0,22.0,611.0,229.0,
308,1.0,1.0,39.0,575.0,132.0,
309,0.0,0.0,39.0,584.0,194.0,
310,0.0,0.0,31.0,59.0,221.0,
311,0.0,0.0,23.0,602.0,245.0,
312,1.0,0.0,34.0,167.0,138.0,
313,2.0,1.0,36.0,382.0,40.0,
314,1.0,1.0,57.0,571.0,139.0,
315,2.0,0.0,34.0,343.0,36.0,
316,1.0,0.0,31.0,150.0,138.0,
317,1.0,1.0,69.0,232.0,91.0,
318,0.0,0.0,41.0,453.0,239.0,
319,0.0,0.0,53.0,81.0,234.0,
320,2.0,1.0,28.0,524.0,18.0,
321,2.0,1.0,35.0,365.0,40.0,
322,1.0,0.0,39.0,124.0,80.0,
323,1.0,0.0,28.0,158.0,150.0,
324,2.0,1.0,88.0,568.0,205.0,
325,0.0,0.0,48.0,613.0,235.0,
326,2.0,1.0,77.0,299.0,3.0,
327,1.0,0.0,48.0,229.0,85.0,
328,2.0,0.0,41.0,423.0,121.0,
329,0.0,0.0,21.0,7.0,196.0,
330,2.0,0.0,88.0,441.0,130.0,
331,0.0,1.0,60.0,20.0,148.0,
332,0.0,1.0,51.0,588.0,238.0,
333,2.0,1.0,21.0,302.0,113.0,
334,0.0,0.0,88.0,605.0,233.0,
335,2.0,1.0,88.0,370.0,40.0,
336,0.0,1.0,38.0,36.0,203.0,
337,0.0,0.0,55.0,81.0,234.0,
338,2.0,1.0,59.0,510.0,43.0,
339,0.0,1.0,59.0,39.0,168.0,
340,1.0,1.0,6.0,113.0,138.0,
341,0.0,0.0,31.0,95.0,246.0,
342,1.0,1.0,36.0,159.0,85.0,
343,1.0,1.0,33.0,149.0,85.0,
344,1.0,1.0,48.0,112.0,85.0,
345,1.0,0.0,31.0,157.0,85.0,
346,1.0,0.0,53.0,257.0,85.0,
347,2.0,0.0,88.0,483.0,109.0,
348,2.0,1.0,7.0,562.0,107.0,
349,2.0,1.0,56.0,262.0,54.0,
350,2.0,1.0,29.0,503.0,60.0,
351,0.0,1.0,88.0,30.0,167.0,
352,2.0,1.0,20.0,214.0,17.0,
353,2.0,1.0,33.0,377.0,112.0,
354,2.0,1.0,88.0,182.0,16.0,
355,2.0,1.0,36.0,314.0,64.0,
356,0.0,0.0,28.0,28.0,190.0,
357,1.0,0.0,51.0,131.0,85.0,
358,2.0,0.0,88.0,279.0,38.0,
359,2.0,0.0,88.0,285.0,38.0,
360,2.0,1.0,53.0,337.0,147.0,
361,1.0,1.0,38.0,633.0,145.0,
362,2.0,0.0,59.0,211.0,94.0,
363,2.0,1.0,47.0,641.0,12.0,
364,2.0,1.0,88.0,459.0,102.0,
365,2.0,1.0,39.0,544.0,18.0,
366,0.0,0.0,76.0,4.0,209.0,
367,2.0,0.0,88.0,175.0,17.0,
368,2.0,0.0,88.0,78.0,30.0,
369,0.0,0.0,31.0,581.0,204.0,
370,0.0,1.0,33.0,58.0,191.0,
371,2.0,1.0,23.0,244.0,6.0,
372,2.0,1.0,24.0,273.0,43.0,
373,0.0,1.0,28.0,613.0,235.0,
374,2.0,0.0,7.0,395.0,124.0,
375,0.0,0.0,88.0,600.0,220.0,
376,2.0,0.0,28.0,545.0,18.0,
377,0.0,1.0,35.0,27.0,241.0,
378,2.0,1.0,25.0,183.0,1.0,
379,2.0,1.0,24.0,324.0,31.0,
380,0.0,0.0,56.0,610.0,243.0,
381,2.0,0.0,5.0,187.0,104.0,
382,2.0,1.0,42.0,665.0,41.0,
383,0.0,0.0,47.0,43.0,187.0,
384,2.0,1.0,88.0,371.0,40.0,
385,1.0,1.0,23.0,621.0,208.0,
386,2.0,1.0,5.0,566.0,179.0,
387,1.0,0.0,48.0,220.0,85.0,
388,2.0,1.0,88.0,447.0,26.0,
389,1.0,0.0,22.0,625.0,77.0,
390,0.0,1.0,48.0,33.0,232.0,
391,2.0,1.0,27.0,401.0,33.0,
392,2.0,1.0,36.0,246.0,41.0,
393,0.0,0.0,29.0,416.0,231.0,
394,2.0,0.0,31.0,616.0,110.0,
395,2.0,1.0,28.0,410.0,33.0,
396,2.0,0.0,41.0,414.0,36.0,
397,1.0,1.0,61.0,226.0,138.0,
398,1.0,1.0,29.0,146.0,72.0,
399,1.0,0.0,36.0,140.0,83.0,
400,2.0,1.0,52.0,663.0,41.0,
401,2.0,1.0,34.0,292.0,43.0,
402,2.0,0.0,27.0,492.0,66.0,
403,2.0,1.0,36.0,668.0,106.0,
404,2.0,0.0,25.0,267.0,54.0,
405,1.0,1.0,45.0,230.0,123.0,
406,2.0,1.0,66.0,321.0,30.0,
407,1.0,1.0,7.0,237.0,114.0,
408,2.0,1.0,27.0,255.0,31.0,
409,2.0,0.0,88.0,488.0,134.0,
410,2.0,1.0,88.0,367.0,40.0,
411,2.0,1.0,88.0,487.0,8.0,
412,0.0,0.0,44.0,92.0,225.0,
413,1.0,1.0,88.0,135.0,0.0,
414,2.0,1.0,58.0,655.0,41.0,
415,2.0,0.0,88.0,295.0,43.0,
416,1.0,0.0,45.0,224.0,161.0,
417,1.0,0.0,23.0,168.0,85.0,
418,1.0,1.0,39.0,225.0,85.0,
419,2.0,0.0,14.0,307.0,133.0,
420,2.0,1.0,88.0,392.0,40.0,
421,2.0,1.0,27.0,534.0,27.0,
422,2.0,1.0,38.0,259.0,37.0,
423,2.0,0.0,36.0,331.0,93.0,
424,2.0,1.0,23.0,458.0,119.0,
425,2.0,1.0,88.0,521.0,18.0,
426,1.0,0.0,36.0,100.0,138.0,
427,1.0,0.0,24.0,170.0,138.0,
428,2.0,1.0,88.0,437.0,30.0,
429,2.0,1.0,42.0,644.0,43.0,
430,0.0,1.0,36.0,3.0,143.0,
431,2.0,0.0,88.0,476.0,109.0,
432,1.0,0.0,56.0,627.0,138.0,
433,2.0,1.0,22.0,657.0,14.0,
434,0.0,1.0,65.0,72.0,192.0,
435,0.0,0.0,18.0,33.0,232.0,
436,2.0,0.0,27.0,676.0,165.0,
437,1.0,0.0,31.0,237.0,114.0,
438,0.0,1.0,80.0,95.0,246.0,
439,1.0,1.0,41.0,547.0,72.0,
440,1.0,0.0,59.0,571.0,139.0,
441,2.0,1.0,25.0,305.0,64.0,
442,2.0,1.0,33.0,328.0,31.0,
443,1.0,0.0,36.0,116.0,85.0,
444,2.0,1.0,88.0,499.0,44.0,
445,0.0,1.0,8.0,289.0,219.0,
446,1.0,0.0,17.0,162.0,117.0,
447,0.0,1.0,45.0,45.0,143.0,
448,2.0,0.0,9.0,194.0,116.0,
449,0.0,1.0,67.0,40.0,155.0,
450,1.0,1.0,48.0,561.0,146.0,
451,2.0,1.0,88.0,497.0,118.0,
452,0.0,1.0,39.0,22.0,146.0,
453,0.0,1.0,64.0,84.0,224.0,
454,2.0,1.0,88.0,528.0,43.0,
455,2.0,1.0,38.0,379.0,40.0,
456,0.0,1.0,81.0,73.0,143.0,
457,0.0,0.0,88.0,86.0,186.0,
458,1.0,0.0,65.0,572.0,72.0,
459,2.0,1.0,88.0,468.0,30.0,
460,0.0,1.0,63.0,96.0,143.0,
461,2.0,1.0,45.0,429.0,43.0,
462,0.0,1.0,62.0,6.0,171.0,
463,1.0,1.0,63.0,121.0,85.0,
464,2.0,1.0,88.0,539.0,43.0,
465,2.0,1.0,51.0,639.0,12.0,
466,1.0,1.0,88.0,135.0,0.0,
467,0.0,1.0,72.0,44.0,143.0,
468,2.0,1.0,88.0,421.0,25.0,
469,2.0,0.0,2.0,194.0,116.0,
470,2.0,1.0,88.0,272.0,18.0,
471,2.0,1.0,51.0,263.0,54.0,
472,1.0,0.0,44.0,561.0,146.0,
473,1.0,0.0,29.0,628.0,88.0,
474,2.0,0.0,28.0,509.0,67.0,
475,0.0,1.0,88.0,2.0,187.0,
476,1.0,1.0,45.0,252.0,123.0,
477,2.0,1.0,38.0,315.0,11.0,
478,2.0,1.0,28.0,411.0,21.0,
479,2.0,0.0,6.0,251.0,79.0,
480,2.0,1.0,13.0,566.0,179.0,
481,1.0,1.0,88.0,136.0,0.0,
482,2.0,1.0,65.0,531.0,43.0,
483,2.0,0.0,79.0,489.0,65.0,
484,0.0,1.0,33.0,64.0,226.0,
485,2.0,0.0,88.0,488.0,134.0,
486,0.0,0.0,47.0,93.0,225.0,
487,0.0,1.0,74.0,61.0,152.0,
488,2.0,1.0,39.0,517.0,43.0,
489,2.0,1.0,13.0,562.0,107.0,
490,2.0,1.0,88.0,498.0,118.0,
491,2.0,1.0,27.0,649.0,18.0,
492,0.0,1.0,70.0,41.0,155.0,
493,0.0,1.0,85.0,603.0,182.0,
494,2.0,1.0,27.0,518.0,43.0,
495,2.0,1.0,88.0,176.0,95.0,
496,0.0,0.0,69.0,454.0,214.0,
497,2.0,1.0,88.0,564.0,100.0,
498,0.0,0.0,33.0,37.0,237.0,
499,2.0,1.0,31.0,402.0,33.0,
500,2.0,1.0,22.0,261.0,54.0,
501,2.0,0.0,27.0,433.0,30.0,
502,2.0,0.0,88.0,276.0,23.0,
503,2.0,0.0,50.0,490.0,65.0,
504,0.0,0.0,21.0,0.0,223.0,
505,0.0,1.0,23.0,611.0,229.0,
506,1.0,0.0,44.0,180.0,138.0,
507,0.0,1.0,88.0,10.0,143.0,
508,2.0,1.0,36.0,542.0,128.0,
509,2.0,1.0,34.0,80.0,193.0,
510,2.0,1.0,38.0,479.0,30.0,
511,2.0,1.0,88.0,648.0,43.0,
512,0.0,1.0,48.0,577.0,141.0,
513,0.0,0.0,69.0,599.0,197.0,
514,2.0,1.0,31.0,356.0,20.0,
515,0.0,1.0,62.0,456.0,164.0,
516,1.0,0.0,45.0,560.0,72.0,
517,2.0,1.0,88.0,469.0,133.0,
518,1.0,0.0,48.0,110.0,138.0,
519,2.0,1.0,42.0,381.0,40.0,
520,0.0,0.0,39.0,67.0,227.0,
521,2.0,1.0,28.0,390.0,40.0,
522,2.0,1.0,88.0,173.0,16.0,
523,0.0,0.0,58.0,7.0,196.0,
524,2.0,1.0,88.0,217.0,17.0,
525,2.0,1.0,54.0,446.0,30.0,
526,1.0,0.0,65.0,673.0,72.0,
527,0.0,1.0,88.0,583.0,242.0,
528,2.0,1.0,52.0,250.0,41.0,
529,1.0,1.0,29.0,235.0,76.0,
530,1.0,0.0,6.0,180.0,138.0,
531,2.0,1.0,88.0,181.0,17.0,
532,2.0,1.0,22.0,210.0,17.0,
533,2.0,0.0,88.0,196.0,127.0,
534,2.0,0.0,39.0,260.0,54.0,
535,1.0,0.0,11.0,571.0,139.0,
536,0.0,1.0,59.0,21.0,143.0,
537,0.0,0.0,39.0,614.0,228.0,
538,2.0,1.0,88.0,426.0,96.0,
539,0.0,0.0,28.0,75.0,181.0,
540,0.0,0.0,48.0,680.0,206.0,
541,2.0,0.0,13.0,333.0,158.0,
542,2.0,0.0,15.0,333.0,158.0,
543,1.0,1.0,42.0,233.0,138.0,
544,0.0,1.0,65.0,614.0,228.0,
545,0.0,1.0,80.0,501.0,138.0,
546,1.0,0.0,24.0,233.0,138.0,
547,1.0,1.0,88.0,631.0,90.0,
548,2.0,1.0,44.0,423.0,121.0,
549,1.0,1.0,12.0,558.0,169.0,
550,0.0,1.0,22.0,83.0,230.0,
551,1.0,1.0,35.0,148.0,138.0,
552,2.0,1.0,88.0,284.0,35.0,
553,2.0,1.0,28.0,171.0,16.0,
554,2.0,0.0,28.0,335.0,31.0,
555,0.0,1.0,78.0,52.0,143.0,
556,0.0,0.0,63.0,57.0,174.0,
557,0.0,1.0,88.0,610.0,243.0,
558,0.0,0.0,52.0,1.0,217.0,
559,2.0,0.0,48.0,300.0,111.0,
560,2.0,1.0,88.0,471.0,30.0,
561,2.0,1.0,53.0,389.0,40.0,
562,1.0,1.0,36.0,103.0,87.0,
563,2.0,1.0,88.0,651.0,43.0,
564,2.0,0.0,88.0,645.0,43.0,
565,2.0,1.0,31.0,519.0,133.0,
566,2.0,1.0,24.0,352.0,40.0,
567,2.0,0.0,38.0,395.0,124.0,
568,2.0,1.0,88.0,207.0,17.0,
569,2.0,1.0,42.0,415.0,36.0,
570,1.0,1.0,78.0,624.0,72.0,
571,0.0,0.0,68.0,60.0,185.0,
572,0.0,1.0,48.0,578.0,142.0,
573,2.0,0.0,88.0,77.0,30.0,
574,2.0,1.0,21.0,520.0,43.0,
575,2.0,1.0,24.0,420.0,96.0,
576,1.0,0.0,45.0,143.0,85.0,
577,0.0,0.0,52.0,72.0,192.0,
578,2.0,0.0,88.0,209.0,95.0,
579,2.0,1.0,42.0,661.0,41.0,
580,1.0,0.0,33.0,133.0,153.0,
581,0.0,0.0,52.0,83.0,230.0,
582,1.0,1.0,69.0,226.0,138.0,
583,0.0,1.0,48.0,68.0,176.0,
584,2.0,1.0,88.0,291.0,56.0,
585,0.0,0.0,23.0,1.0,217.0,
586,1.0,1.0,62.0,129.0,97.0,
587,0.0,1.0,76.0,74.0,216.0,
588,2.0,1.0,28.0,79.0,43.0,
589,2.0,1.0,88.0,515.0,43.0,
590,2.0,1.0,47.0,656.0,14.0,
591,0.0,0.0,67.0,454.0,214.0,
592,2.0,1.0,62.0,532.0,18.0,
593,2.0,0.0,88.0,434.0,30.0,
594,1.0,1.0,50.0,626.0,138.0,
595,2.0,1.0,48.0,307.0,133.0,
596,1.0,0.0,88.0,155.0,162.0,
597,2.0,1.0,64.0,574.0,0.0,
598,2.0,1.0,88.0,192.0,16.0,
599,0.0,1.0,64.0,584.0,194.0,
600,1.0,0.0,31.0,142.0,144.0,
601,2.0,1.0,88.0,360.0,40.0,
602,0.0,1.0,88.0,46.0,178.0,
603,2.0,1.0,58.0,430.0,43.0,
604,0.0,1.0,47.0,9.0,143.0,
